X;Y;site;bank;dist;slope;height;aspect;los;acc;period
424640;4601350;Serra de Can Borgonyó;left;8247;0.55;206;54;11017;249;LBA
427530;4599698;Serra de la Salut;left;5958;1.37;172;158;18458;190;LBA
431451;4599306;Timba d'en Humbert;left;3062;1.74;77;345;7334;226;LBA
431735;4598047;Torreblanca;left;2201;1.41;91;223;29068;221;LBA
433983;4609493;Turó de Can Pa i Aigua;left;2927;6.10;255;342;37096;192;LBA
424133;4598462;Bòbila Madurell;left;5855;1.33;169;259;9940;192;EIA
391673;4578196;Bòbila Majem;right;147;2.72;223;295;28115;172;EIA
416200;4586600;Bòbila Roca;left;2299;2.74;43;349;15583;196;EIA
390916;4577472;Bosc Moi;right;345;1.98;213;225;41067;175;EIA
426290;4601340;Buxó prehistòric;left;7756;19.99;144;229;1683;194;EIA
435039;4590713;Can Butinyà;left;4294;8.91;118;204;47826;216;EIA
423748;4599634;Can Gambús 1;left;7085;1.61;208;217;33533;194;EIA
423240;4599870;Can Gambús 2;left;7504;13.68;196;210;8404;204;EIA
423240;4599870;Can Gambús 2;left;7504;13.68;196;210;8404;204;EIA
423681;4599837;Can Gambús 3;left;7299;1.08;210;353;27269;198;EIA
423681;4599837;Can Gambús 3;left;7299;1.08;210;353;27269;198;EIA
427810;4599520;Can Roqueta;left;5769;0.93;176;224;35109;188;EIA
427810;4599520;Can Roqueta;left;5769;0.93;176;224;35109;188;EIA
427810;4599520;Can Roqueta;left;5769;0.93;176;224;35109;188;EIA
428160;4599367;Can Roqueta II est;left;5618;1.88;179;196;47217;196;EIA
427788;4598324;Can Roqueta-Can Revella;left;4574;2.92;151;301;29259;177;EIA
427455;4600248;Can Roqueta-Torre Romeu;left;6511;1.15;184;225;30835;184;EIA
427455;4600248;Can Roqueta-Torre Romeu;left;6511;1.15;184;225;30835;184;EIA
432376;4602247;Can Viola;left;3857;2.99;138;339;47826;216;EIA
432376;4602247;Can Viola;left;3857;2.99;138;339;47826;216;EIA
429195;4579979;Castell de Port / Parc del Migdia / Montjuïc;left;12575;2.14;86;133;88941;122;EIA
418391;4610042;Cova del Frare;left;12558;52.26;935;182;16697;190;EIA
447646;4607460;El Coll (URBANITZACIÓ SANT JOSEP)/TOMBA DEL GUERRER;left;779;14.60;199;230;6114;196;EIA
423648;4607190;El Pitu de Can Barba;left;12682;0.96;303;263;9485;194;EIA
392229;4578856;Els Cirerers;right;107;0.31;224;194;24648;163;EIA
423099;4601577;Els jardins de Castellarnau/Terrenys de l'Institut Sabadell-Terrassa-Carrer 0;left;9105;2.83;232;213;6448;209;EIA
385247;4584491;Els Pujols;right;8335;6.27;326;297;14068;176;EIA
390922;4577328;Escola Cristòfor Mestre;right;489;7.00;207;248;28772;178;EIA
427700;4598665;Estació de bombament de la depuradora de Sabadell-Riu Ripoll;left;4917;1.24;158;312;30708;176;EIA
386382;4576965;Hort d'en Grimau;right;1451;2.84;189;102;17943;180;EIA
432234;4597348;La Florida Nord-Can Soldevila;left;1512;3.24;79;101;31448;207;EIA
400603;4587129;La Foradada;right;335;0.81;126;39;9286;186;EIA
391465;4577449;La Girada;right;549;2.05;210;268;17773;183;EIA
383617;4576584;La Múnia;right;2672;6.24;234;289;40714;214;EIA
381079;4561069;Les Toixoneres;right;4402;4.99;11;299;2161;127;EIA
387918;4574006;Mas Castellar-1;right;1209;5.45;182;148;49679;245;EIA
388134;4578778;Mas d'en Boixos;right;1986;1.21;224;225;57142;173;EIA
432739;4588513;Molí de Sant Andreu (Rec Comtal);left;5180;3.23;24;342;15310;182;EIA
481526;4620634;Montbarbat;left;2337;10.98;327;170;112750;206;EIA
429794;4598687;Necròpolis paleoibèrica Granja Soley;left;4245;4.86;96;213;10351;199;EIA
428135;4598815;Necròpolis de Can Piteu Can Roqueta;left;5066;2.12;162;177;28350;196;EIA
392090;4573494;Olèrdola;right;4445;11.95;319;93;65574;195;EIA
449079;4598604;Oppidum Burriac;left;7265;23.36;258;283;6379;235;EIA
429350;4595700;Parc dels Pinetons;left;2043;7.94;107;232;21850;209;EIA
422265;4583399;Penya del Moro;left;7981;22.83;260;277;89938;297;EIA
424297;4604956;Pla de la Bruguera-Magatzem Sony;left;11760;0.53;271;191;16538;186;EIA
441927;4608282;Pla del Serrador/Rodna Nord de Granollers;left;1405;0.85;212;72;46033;213;EIA
441927;4608282;Pla del Serrador/Rodna Nord de Granollers;left;1405;0.85;212;72;46033;213;EIA
424077;4607740;Plaça Major (sectors 1 i 2);left;12017;2.96;329;206;14616;189;EIA
438893;4596305;Poblat ibèric de Castellruf;left;3406;22.85;435;274;9930;207;EIA
394630;4579167;Pou Nou-2;right;1217;0.68;240;263;29855;173;EIA
416105;4583545;Puig Castellar;left;5325;12.39;184;201;65661;210;EIA
390830;4576870;Pujolet de Moja;right;880;5.72;199;32;137;182;EIA
427694;4587116;Sant Genís dels Agudells;left;5485;25.43;303;266;13206;331;EIA
389598;4579307;Sant Pau Inferior;right;1760;7.99;238;276;41332;182;EIA
391604;4577334;Santa Digna;right;722;1.40;206;296;15312;183;EIA
396870;4577622;Serra de la Font del Cuscó-1;right;3897;10.71;386;113;79872;169;EIA
375614;4586086;Serra del Tall-2;right;7038;13.99;681;344;5806;173;EIA
426226;4594891;Sitges de U.A.B.;left;1763;5.45;139;335;28291;197;EIA
430006;4580581;Sitja del carrer Anníbal / Montjuïc;left;12337;4.36;29;73;40583;112;EIA
393622;4565164;Solicrup;left;10782;1.43;21;296;46033;213;EIA
385167;4569663;Timbes de Santa Bàrbara;right;1977;2.62;149;258;39854;264;EIA
444922;4600996;Turó de Cèllecs;left;2509;8.41;532;222;6379;235;EIA
397560;4580889;Turó de la Font de la Canya;right;2301;2.81;231;206;19326;182;EIA
387464;4587506;Turó de la Font del Roure;right;6060;1.48;362;263;35023;172;EIA
430205;4585855;Turó de la Rovira_Refugi;left;7677;8.26;236;283;54978;210;EIA
425916;4595066;UAB Facultat de Lletres;left;2061;2.62;136;272;10423;195;EIA
390536;4576881;Variant Tram Oest;right;733;3.20;187;151;23546;175;EIA
